"Time";"Gender";"Age";"Live_in";"Grew_up";"Country";"Education";"Social_class";"Ethicity";"Color_blind";"ID_Judge";"Survey";"Age_class"
2023-05-17;"Female";38;"Metropolis";"Metropolis";"United States";"Master";"Middle";"Branca";"No";"C_16_judge_fb828103d1454586549102ed06ac87f6";"BR";"25_59"
2023-05-17;"Female";31;"Metropolis";"Small city";"Brazil";"PhD";"Low";"Preta ou Africana, Latino ou Hispânico";"No";"C_16_judge_49b999dc2990eb823308d5ac0c72ed37";"BR";"25_59"
2023-05-17;"Female";39;"Metropolis";"Median city";"Brazil";"Master";"Middle";"Branca";"No";"C_16_judge_8d504902125562ad1e2b603993d175d2";"BR";"25_59"
2023-05-17;"Male";44;"Small city";"Small city";"Brazil";"PhD";"Low";"Parda";"No";"C_16_judge_129db43b8c3ea2baf83210df877808ff";"BR";"25_59"
2023-05-17;"Female";36;"Median city";"Median city";"Brazil";"PhD";"Middle";"Branca";"No";"C_16_judge_1550e6685abee8ef40418307a2f6617e";"BR";"25_59"
2023-05-17;"Male";30;"Metropolis";"Small city";"Brazil";"Bachelor";"Low";"Branca";"No";"C_16_judge_92910a30dfc5b8fe108310b5941b58aa";"BR";"25_59"
2023-05-17;"Male";54;"Median city";"Median city";"Brazil";"Bachelor";"Middle";"Branca";"No";"C_16_judge_b01763b4f07dc363cbf20888807f3ae8";"BR";"25_59"
2023-05-17;"Female";28;"Metropolis";"Metropolis";"Brazil";"Bachelor";"Middle";"Parda";"No";"C_16_judge_7235a3c6979602d0b07d8483dd8d4387";"BR";"18_24"
2023-05-17;"Female";43;"Small city";"Small city";"Brazil";"Bachelor";"Middle";"Branca";"No";"C_16_judge_588017b6fece56ad3fa0f3bb056811bf";"BR";"25_59"
2023-05-17;"Female";34;"Median city";"Small city";"Brazil";"Master";"Middle";"Branca";"No";"C_16_judge_2296cad5ee8f2ef9bed237a7511d7446";"BR";"25_59"
2023-05-17;"Female";45;"Metropolis";"Metropolis";"Brazil";"Bachelor";"Upper";"Asiática ou de Ilhas do Pacífico";"No";"C_16_judge_fc54e3bab2f8f918cb9d8253051cd041";"BR";"25_59"
2023-05-17;"Female";35;"Metropolis";"Small city";"Brazil";"Bachelor";"Low";"Preta ou Africana";"No";"C_16_judge_c838de51cce919e24715420251687410";"BR";"25_59"
2023-05-17;"Male";27;"Median city";"Median city";"Brazil";"Master";"Low";"Latino ou Hispânico";"No";"C_16_judge_7f63f1cb2acc66c6cbf23a1dbbfbbaf3";"BR";"18_24"
2023-05-17;"Female";33;"Metropolis";"Median city";"Brazil";"Bachelor";"Low";"Branca";"No";"C_16_judge_620ccc487a1ea05104456e88879d38c0";"BR";"25_59"
2023-05-17;"Female";26;"Median city";"Median city";"Brazil";"Master";"Middle";"Branca";"No";"C_16_judge_a0b5a64d0e1e54002c88bef421ae0573";"BR";"18_24"
2023-05-17;"Female";32;"Metropolis";"Small city";"Brazil";"PhD";"Low";"Branca";"No";"C_16_judge_ff93a0f0eb6ec306fa5ad7deff557684";"BR";"25_59"
2023-05-17;"Female";50;"Metropolis";"Metropolis";"Ecuador";"PhD";"Upper";"Latino ou Hispânico";"No";"C_16_judge_792ab3e92491b9ce6975d48b0d446783";"BR";"25_59"
2023-05-17;"Male";57;"Metropolis";"Metropolis";"Brazil";"Bachelor";"Middle";"Preta ou Africana";"No";"C_16_judge_c6969f4cb4494285b365f4d808a4ff14";"BR";"25_59"
2023-05-17;"Female";36;"Metropolis";"Metropolis";"Brazil";"Master";"Low";"Asiática ou de Ilhas do Pacífico";"No";"C_16_judge_a70a330f7b22b44fe3e0de8860e17081";"BR";"25_59"
2023-05-17;"Female";37;"Metropolis";"Median city";"Brazil";"PhD";"Upper";"Branca";"No";"C_16_judge_6725b7cd003a0c5cdb5f1a6b7232dbd1";"BR";"25_59"
2023-05-17;"Female";41;"Metropolis";"Median city";"Brazil";"PhD";"Middle";"Branca";"No";"C_16_judge_c8a2c0dbee3dc5a849b0c93fb145081f";"BR";"25_59"
2023-05-17;"Female";40;"Median city";"Small city";"Brazil";"Bachelor";"Upper";"Branca";"No";"C_16_judge_570188b3f70b02d56679c3c6f896a519";"BR";"25_59"
2023-05-17;"Male";35;"Metropolis";"Small city";"Brazil";"PhD";"Upper";"Branca";"No";"C_16_judge_dbc88b13827fec9e20608aa1f6a86828";"BR";"25_59"
2023-05-17;"Male";41;"Small city";"Median city";"Brazil";"PhD";"Middle";"Branca";"No";"C_16_judge_29a4c32989e79bd26bc7fd26041f6a3d";"BR";"25_59"
2023-05-17;"Male";28;"Median city";"Small city";"Brazil";"Bachelor";"Low";"Branca";"No";"C_16_judge_3592fdcd8abfe0565aec0678e39f1938";"BR";"18_24"
2023-05-17;"Male";55;"Metropolis";"Metropolis";"Brazil";"PhD";"Middle";"Branca";"No";"C_16_judge_89636e800356b25bac1ce0a1f68cd819";"BR";"25_59"
2023-05-17;"Female";26;"Metropolis";"Metropolis";"Brazil";"Bachelor";"Middle";"Parda";"No";"C_16_judge_2392555b23b0383faf2aff6ccd989bce";"BR";"18_24"
2023-05-17;"Male";45;"Median city";"Small city";"Brazil";"Master";"Middle";"Asiática ou de Ilhas do Pacífico";"No";"C_16_judge_9edaea9cd4c5f9ace680bc729536700d";"BR";"25_59"
2023-05-17;"Female";30;"Small city";"Small city";"Brazil";"PhD";"Middle";"Branca";"No";"C_16_judge_e1e9f25a856e4e547370859bd642b66f";"BR";"25_59"
2023-05-17;"Female";29;"Median city";"Median city";"Brazil";"High school";"Middle";"Parda";"No";"C_16_judge_1dda3672594b6f5e46cd8c33c2f3157c";"BR";"18_24"
2023-05-17;"Male";41;"Median city";"Median city";"Brazil";"Bachelor";"Middle";"Branca";"No";"C_16_judge_8ea0908dd8af6cd80125837dc8693e73";"BR";"25_59"
2023-05-17;"Female";44;"Median city";"Metropolis";"Brazil";"Bachelor";"Low";"Branca";"No";"C_16_judge_a450b8e66d4fdb2c9db59e847e334f70";"BR";"25_59"
2023-05-17;"Female";37;"Metropolis";"Metropolis";"Brazil";"High school";"Low";"Parda";"No";"C_16_judge_f99297b9f8c903880a66816d8193a661";"BR";"25_59"
2023-05-17;"Female";41;"Metropolis";"Metropolis";"Brazil";"PhD";"Low";"Branca";"No";"C_16_judge_313c894a1840fc95b6253ddf17798eb5";"BR";"25_59"
2023-05-17;"Male";24;"Metropolis";"Metropolis";"Brazil";"Bachelor";"Low";"Parda";"No";"C_16_judge_053c404f8113d019f7cceddeb626067d";"BR";"18_24"
2023-05-17;"Male";22;"Metropolis";"Metropolis";"Brazil";"Bachelor";"Low";"Preta ou Africana";"No";"C_16_judge_b946b195c6d2cfd821af2a9387ba52e0";"BR";"18_24"
2023-05-17;"Female";32;"Median city";"Median city";"Brazil";"PhD";"Middle";"Branca";"No";"C_16_judge_a45b44a657a9214a9e75eedaa5efd31a";"BR";"25_59"
2023-05-17;"Male";28;"Metropolis";"Metropolis";"Brazil";"Bachelor";"Middle";"Parda";"No";"C_16_judge_be525f291c53ea80c944c1b03e19aea1";"BR";"18_24"
2023-05-17;"Female";50;"Small city";"Small city";"Uruguay";"PhD";"Middle";"Latino ou Hispânico";"No";"C_16_judge_f7199468f5dd2b9a388a5353fdb46c92";"BR";"25_59"
2023-05-17;"Male";28;"Metropolis";"Metropolis";"Brazil";"Master";"Low";"Parda";"No";"C_16_judge_08a24067d9af13bff7dc54ba471e6dbb";"BR";"18_24"
2023-05-17;"Other";25;"Metropolis";"Metropolis";"Brazil";"Bachelor";"Middle";"Asiática ou de Ilhas do Pacífico";"No";"C_16_judge_e88050502b2671f8567170fb0b6a3168";"BR";"18_24"
2023-05-17;"Female";51;"Metropolis";"Metropolis";"Brazil";"PhD";"Upper";"Branca";"No";"C_16_judge_433513a64b116e14863f4e1ae303b460";"BR";"25_59"
2023-05-17;"Male";32;"Metropolis";"Median city";"Brazil";"Master";"Middle";"Branca";"No";"C_16_judge_c434f5342bc16181314a17d7a68add98";"BR";"25_59"
2023-05-17;"Male";43;"Metropolis";"Small city";"Brazil";"Bachelor";"Low";"Latino ou Hispânico";"No";"C_19_judge_2123d8d51acc095807dc17055574c922";"BR";"25_59"
2023-05-17;"Female";44;"Metropolis";"Metropolis";"Brazil";"Master";"Upper";"Branca";"No";"C_16_judge_6667aa187d9aca647b53aa45bffd5f68";"BR";"25_59"
2023-05-17;"Female";30;"Small city";"Median city";"Costa Rica";"Bachelor";"Middle";"Latino ou Hispânico";"No";"C_19_judge_654ee2dc986e9ec26904a07e9d6e5782";"BR";"25_59"
2023-05-17;"Male";50;"Metropolis";"Median city";"Brazil";"Bachelor";"Upper";"Branca";"Yes";"C_16_judge_94d56a3bebb0139c2b4643d6b5c61a47";"BR";"25_59"
2023-05-17;"Female";29;"Small city";"Small city";"Costa Rica";"Bachelor";"Middle";"Latino ou Hispânico";"No";"C_19_judge_14033eab7eae5204bf9e56cb0d39c07c";"BR";"18_24"
2023-05-17;"Female";24;"Small city";"Small city";"Brazil";"Master";"Low";"Parda, Branca";"No";"C_16_judge_8476bd142bfe3fbdc52a01a3af849ded";"BR";"18_24"
2023-05-17;"Male";29;"Metropolis";"Small city";"Brazil";"PhD";"Middle";"Latino ou Hispânico";"No";"C_19_judge_8266d3705aa4409661dc2227ffc5ceb8";"BR";"18_24"
2023-05-17;"Female";36;"Small city";"Small city";"Costa Rica";"Bachelor";"Middle";"Latino ou Hispânico";"No";"C_19_judge_fe6b2ceb98b7d8ae9e697e297459c5c7";"BR";"25_59"
2023-05-17;"Male";31;"Metropolis";"Metropolis";"Brazil";"Master";"Middle";"Branca";"No";"C_16_judge_afb60eedbf70a06564390d3e24501806";"BR";"25_59"
2023-05-17;"Male";24;"Metropolis";"Metropolis";"Brazil";"Bachelor";"Low";"Latino ou Hispânico, Branca";"No";"C_16_judge_109be8a6da6435d1a0193ab0973cc99d";"BR";"18_24"
2023-05-17;"Female";56;"Metropolis";"Median city";"Ecuador";"PhD";"Upper";"Latino ou Hispânico";"No";"C_19_judge_d9f3f65fb278560e1ad42ac802076f36";"BR";"25_59"
2023-05-17;"Female";50;"Median city";"Median city";"Ecuador";"PhD";"Middle";"Latino ou Hispânico";"No";"C_19_judge_7523591222dc37023f68d94565c2d555";"BR";"25_59"
2023-05-17;"Male";30;"Metropolis";"Metropolis";"Brazil";"Bachelor";"Upper";"Branca";"No";"C_16_judge_9c1009afcb30f3ff332b6a0b16c90acf";"BR";"25_59"
2023-05-17;"Female";28;"Small city";"Small city";"Brazil";"Master";"Low";"Branca";"No";"C_16_judge_35fd2927a512c5569179d7cd05f03655";"BR";"18_24"
2023-05-17;"Female";27;"Metropolis";"Median city";"Brazil";"Bachelor";"Middle";"Asiática ou de Ilhas do Pacífico";"No";"C_16_judge_11883d1f206ed21783c6847e9850ea17";"BR";"18_24"
2023-05-17;"Female";36;"Metropolis";"Metropolis";"Brazil";"PhD";"Upper";"Branca";"No";"C_16_judge_47a5e57450a8d035fba279931b3d7eed";"BR";"25_59"
2023-05-17;"Male";22;"Median city";"Median city";"Brazil";"Bachelor";"Middle";"Branca";"No";"C_16_judge_5804b29c24c2638fddb63464051c7adf";"BR";"18_24"
2023-05-17;"Female";25;"Metropolis";"Metropolis";"Brazil";"Bachelor";"Middle";"Branca";"No";"C_16_judge_3a9e50336d6d1081439e86a01e12129a";"BR";"18_24"
2023-05-17;"Female";26;"Metropolis";"Metropolis";"Brazil";"Bachelor";"Low";"Parda, Latino ou Hispânico";"No";"C_16_judge_0fd2d8039e77a9282952bd78b47c666e";"BR";"18_24"
2023-05-17;"Female";55;"Metropolis";"Metropolis";"Ecuador";"PhD";"Upper";"Latino ou Hispânico";"No";"C_16_judge_7ed8d62777ce08c6807f1593179b8c5d";"BR";"25_59"
2023-05-17;"Male";27;"Metropolis";"Metropolis";"Brazil";"Bachelor";"Middle";"Branca";"No";"C_16_judge_5c583008d363ef23c83afabd786f12c5";"BR";"18_24"
2023-05-17;"Male";26;"Metropolis";"Metropolis";"Brazil";"Bachelor";"Middle";"Branca";"No";"C_16_judge_3b565371cfccc255ef5bfb316f31f409";"BR";"18_24"
2023-05-17;"Male";46;"Metropolis";"Small city";"Brazil";"PhD";"Upper";"Latino ou Hispânico";"No";"C_16_judge_250e6f4893f1ca8766a24061fbe04127";"BR";"25_59"
2023-05-17;"Female";23;"Metropolis";"Median city";"Brazil";"Bachelor";"Upper";"Branca";"No";"C_16_judge_9e5136a306621a1f9dd072e2528a2630";"BR";"18_24"
2023-05-17;"Male";20;"Metropolis";"Metropolis";"Brazil";"High school";"Middle";"Branca";"No";"C_16_judge_cc7dca540ca1080f40bde1d1b8130a44";"BR";"18_24"
2023-05-17;"Female";31;"Metropolis";"Median city";"Brazil";"Master";"Middle";"Branca";"No";"C_16_judge_e698ce36a9fa8c168a2e3d58a0a9c126";"BR";"25_59"
2023-05-17;"Female";27;"Metropolis";"Metropolis";"Brazil";"Master";"Middle";"Branca";"No";"C_16_judge_dac4728d4e45bf5ac0be6629682cc8df";"BR";"18_24"
2023-05-17;"Female";31;"Metropolis";"Metropolis";"Brazil";"Bachelor";"Low";"Latino ou Hispânico, Branca";"No";"C_16_judge_c69723484f4daddcd05b3f1be33cdc2b";"BR";"25_59"
2023-05-17;"Female";26;"Metropolis";"Metropolis";"Brazil";"Bachelor";"Low";"Branca";"No";"C_16_judge_83e42ed9345907ef06a59d62e26b3c8b";"BR";"18_24"
2023-05-17;"Female";35;"Metropolis";"Median city";"Brazil";"Bachelor";"Low";"Parda";"No";"C_16_judge_de6f7ca113e864c6242ad156205ed52f";"BR";"25_59"
2023-05-17;"Female";24;"Metropolis";"Metropolis";"Brazil";"Master";"Middle";"Latino ou Hispânico, Branca";"No";"C_16_judge_17048d43ea396073205381f5b775005a";"BR";"18_24"
2023-05-17;"Female";42;"Metropolis";"Metropolis";"Brazil";"PhD";"Low";"Branca";"No";"C_16_judge_d911ca65c388106df03c010bdbab0169";"BR";"25_59"
2023-05-17;"Female";62;"Metropolis";"Metropolis";"Brazil";"Bachelor";"Middle";"Branca";"No";"C_19_judge_0230a33063bf276c035871abdbdb571e";"BR";"60_100"
2023-05-17;"Male";26;"Metropolis";"Metropolis";"Brazil";"Bachelor";"Middle";"Branca";"No";"C_16_judge_1f37000aca9655bfb7b1f39485bfc0ee";"BR";"18_24"
2023-05-17;"Male";38;"Metropolis";"Metropolis";"Brazil";"Bachelor";"Middle";"Branca";"No";"C_16_judge_825e65601e30f8478584426ecb7017bf";"BR";"25_59"
2023-05-17;"Female";30;"Small city";"Median city";"Brazil";"PhD";"Middle";"Branca";"No";"C_16_judge_d855285fa2c369fa9001a4282671cd3c";"BR";"25_59"
2023-05-17;"Male";29;"Metropolis";"Small city";"Brazil";"Bachelor";"Upper";"Branca";"No";"C_16_judge_dc423275fb8fd98b25406a982b9d5a60";"BR";"18_24"
2023-05-17;"Female";28;"Metropolis";"Metropolis";"Brazil";"Master";"Upper";"Branca";"No";"C_16_judge_4229d29da0bce1ffc89a2f83bce211d6";"BR";"18_24"
2023-05-17;"Female";25;"Median city";"Metropolis";"Brazil";"Master";"Upper";"Branca";"No";"C_16_judge_c682ff85c9a5b30826b4246c4e83b8e9";"BR";"18_24"
2023-05-17;"Female";31;"Metropolis";"Metropolis";"Brazil";"PhD";"Middle";"Latino ou Hispânico, Branca";"No";"C_16_judge_5005ede9804fd58a424a7c058ef63f15";"BR";"25_59"
2023-05-17;"Female";32;"Metropolis";"Metropolis";"Brazil";"Master";"Low";"Parda";"No";"C_16_judge_40a479d59508859b053733395fd262d3";"BR";"25_59"
2023-05-17;"Female";31;"Median city";"Median city";"Brazil";"Master";"Low";"Branca";"No";"C_16_judge_758810022a8dfc8a5fc25d1ad2f49ac9";"BR";"25_59"
2023-05-17;"Female";27;"Metropolis";"Metropolis";"Brazil";"Master";"Middle";"Branca";"No";"C_16_judge_d68453753ce93694fc0d2a3e0c2676d0";"BR";"18_24"
2023-05-17;"Female";50;"Metropolis";"Small city";"Brazil";"Master";"Upper";"Branca";"No";"C_16_judge_0afb98f4bf0c143a66c0a55dcfe9c0c4";"BR";"25_59"
2023-05-17;"Female";37;"Small city";"Median city";"Costa Rica";"Master";"Middle";"Latino ou Hispânico";"No";"C_19_judge_034b3409c54dcf37d7b91459c3f35c4f";"BR";"25_59"
2023-05-17;"Male";40;"Metropolis";"Metropolis";"Brazil";"PhD";"Upper";"Branca";"No";"C_16_judge_e41a2de42a3bf443eb9cb13c53a8c95f";"BR";"25_59"
2023-05-17;"Female";57;"Metropolis";"Metropolis";"Brazil";"Master";"Middle";"Branca";"No";"C_16_judge_1c3e2e4afa87e39871019bd9dbed6566";"BR";"25_59"
2023-05-17;"Male";37;"Metropolis";"Median city";"Brazil";"PhD";"Middle";"Preta ou Africana";"No";"C_16_judge_7a7101f44b0009f86610b89df8db4fd2";"BR";"25_59"
2023-05-17;"Female";25;"Metropolis";"Metropolis";"Brazil";"Bachelor";"Upper";"Branca";"No";"C_16_judge_790712b1fdc2df88eeed4b1e618f5569";"BR";"18_24"
2023-05-17;"Female";28;"Median city";"Median city";"Brazil";"Master";"Low";"Branca";"No";"C_16_judge_4adb8e41682c3da1be32c4fa48fe4dde";"BR";"18_24"
2023-05-17;"Male";28;"Metropolis";"Metropolis";"Brazil";"Bachelor";"Low";"Branca";"No";"C_16_judge_0584f784ec068e06d61ad632a8bae151";"BR";"18_24"
2023-05-17;"Female";30;"Median city";"Median city";"Portugal";"Bachelor";"Low";"Parda, Latino ou Hispânico";"No";"C_16_judge_ea0db3812a5f07b5f5c4fff3b6181297";"BR";"25_59"
2023-05-17;"Female";34;"Metropolis";"Metropolis";"Brazil";"Bachelor";"Middle";"Branca";"No";"C_16_judge_6491d7b2bc0911ef2c3237124f5ddb41";"BR";"25_59"
2023-05-17;"Male";41;"Median city";"Small city";"Costa Rica";"PhD";"Middle";"Latino ou Hispânico";"No";"C_19_judge_272f4a890a0645c70d8e991c956620ad";"BR";"25_59"
2023-05-17;"Female";29;"Metropolis";"Small city";"Brazil";"Master";"Middle";"Branca";"No";"C_16_judge_bd9e486cdfb0353d2911e5326316bbb9";"BR";"18_24"
2023-05-17;"Female";26;"Metropolis";"Small city";"Brazil";"Bachelor";"Low";"Branca";"No";"C_16_judge_a365b6e618404fe4cb00c63603879f48";"BR";"18_24"
2023-05-17;"Female";26;"Metropolis";"Metropolis";"Brazil";"Master";"Low";"Branca";"No";"C_16_judge_6abd4505fff5edaf49edae71dba7b759";"BR";"18_24"
