"";"lat";"long";"id"
"1";-23,440669;-46,736394;"lat_-23.440669_long_-46.736394"
"2";-23,464959;-46,720749;"lat_-23.464959_long_-46.720749"
"3";-23,46669;-46,715172;"lat_-23.46669_long_-46.715172"
"4";-23,466748;-46,714027;"lat_-23.466748_long_-46.714027"
"5";-23,547869;-46,710289;"lat_-23.547869_long_-46.710289"
"6";-23,552189;-46,684927;"lat_-23.552189_long_-46.684927"
"7";-23,555099;-46,68092;"lat_-23.555099_long_-46.68092"
"8";-23,557248;-46,715765;"lat_-23.557248_long_-46.715765"
"9";-23,558313;-46,676418;"lat_-23.558313_long_-46.676418"
"10";-23,559481;-46,690425;"lat_-23.559481_long_-46.690425"
"11";-23,559909;-46,669346;"lat_-23.559909_long_-46.669346"
"12";-23,562886;-46,665199;"lat_-23.562886_long_-46.665199"
"13";-23,563203;-46,664413;"lat_-23.563203_long_-46.664413"
"14";-23,56334;-46,713018;"lat_-23.56334_long_-46.713018"
"15";-23,563439;-46,690912;"lat_-23.563439_long_-46.690912"
"16";-23,563842;-46,664319;"lat_-23.563842_long_-46.664319"
"17";-23,563934;-46,691343;"lat_-23.563934_long_-46.691343"
"18";-23,564564;-46,714217;"lat_-23.564564_long_-46.714217"
"19";-23,573892;-46,714434;"lat_-23.573892_long_-46.714434"
"20";-23,586609;-46,704994;"lat_-23.586609_long_-46.704994"
"21";-23,595928;-46,708175;"lat_-23.595928_long_-46.708175"
"22";-23,60473;-46,712401;"lat_-23.60473_long_-46.712401"
"23";-23,608161;-46,720612;"lat_-23.608161_long_-46.720612"
"24";-23,609787;-46,722838;"lat_-23.609787_long_-46.722838"
"25";-23,613351;-46,732214;"lat_-23.613351_long_-46.732214"
"26";-23,613535;-46,727386;"lat_-23.613535_long_-46.727386"
"27";-23,682554;-46,503708;"lat_-23.682554_long_-46.503708"
"28";-23,615255;-46,727297;"lat_-23.615255_long_-46.727297"
"29";-23,615312;-46,72635;"lat_-23.615312_long_-46.72635"
"30";-23,684371;-46,513657;"lat_-23.684371_long_-46.513657"
"31";-23,70474;-46,481696;"lat_-23.70474_long_-46.481696"
"32";-23,707728;-46,495984;"lat_-23.707728_long_-46.495984"
"33";-23,71317;-46,498943;"lat_-23.71317_long_-46.498943"
"34";-23,713173;-46,499658;"lat_-23.713173_long_-46.499658"
"35";-23,720553;-46,480019;"lat_-23.720553_long_-46.480019"
"36";23,614693;-46,728348;"lat_23.614693_long_-46.728348"
