"Id_images";"Elo_mean_all";"Elo_sd_all";"CL_cie_d_mean";"CL_cie_d_sd";"CL_hullarea";"SH_n.cell_mean";"SH_n.cell_sd";"SH_n.core.cell_mean";"SH_n.core.cell_sd";"SH_perimeter_mean";"SH_perimeter_sd";"SH_perim.area.ratio_mean";"SH_perim.area.ratio_sd";"SH_core.area.index_mean";"SH_core.area.index_sd";"SH_shape.index_mean";"SH_shape.index_sd";"SH_frac.dim.index_mean";"SH_mean.frac.dim.index";"SH_aggregation.index";"SH_effective.mesh.size";"LS_mean_satu";"LS_sd_satu";"LS_mean_light";"LS_sd_light";"PCA_col_1";"PCA_col_2";"PCA_col_3";"PCA_col_4";"contrast";"complexity";"self_similarity";"symmetry_v";"symmetry_h";"green";"gray";"blue"
"001_1_52759182023_o";1634,813;108,328801157218;13,3646883508857;7,75635578856505;133,835982214765;30370,2222222222;32078,1171781394;16598;27906,7349801083;23527,1111111111;11663,9228011468;1,34684090298852;0,694435782948089;0,2918173833415;0,296426450177843;39,6409175238305;16,1417363586656;1,74812222513867;1,39040079795133;66,8935182362639;4187,06725886468;0,152194235215992;0,124470508849284;0,511576943129995;0,248169824490189;2,67706530047212;-1,65536561034099;-0,720144053241119;-0,34712578395686;0,245956165041854;0,767472913630552;-0,533613108835009;0,444867722472097;0,479145990879329;0,183321541950113;0,40254693877551;0,0505578231292517
"002_1_52758154022_o";1572,127;104,321128103413;13,9376397870449;6,63834229112365;330,803649069558;30057,4444444444;34515,1034118077;14001;17961,5361745592;23876,8888888889;22919,3186877601;0,928355260409683;0,295034365884069;0,404038761278377;0,152188549845983;32,6812558214007;14,4814275327879;1,69130852576339;1,35299106267721;77,4225176909743;2849,11782952232;0,16611822389058;0,137030574219683;0,408145448725741;0,174564171697532;-0,165206305683355;6,50907413241656;0,403334181174975;1,02617289649984;0,179443290292181;0,717691513864016;-0,577124160446803;0,452319116148806;0,129062010518036;0,290942403628118;0,142701133786848;0,00072562358276644
"003_1_52758154042_o";1678,453;104,743185582289;14,6523915412463;8,1054524081926;362,770340400564;29843,8888888889;28244,9833131675;11181,3333333333;12870,2757837585;30177,1111111111;24024,2530604202;1,153579412828;0,465813995045235;0,317411341720169;0,232966585159253;42,1181362126644;17,8316605036269;1,72214154444387;1,38618087067668;71,7172775907636;936,193420908389;0,134828437239349;0,128641380323267;0,638449987936499;0,194019683969556;-3,47952247373487;-0,81814840945912;-1,49042629924659;1,01339885706352;0,202645776377987;0,783675190746528;-0,581197456123596;0,250755024316743;0,18096870323036;0,098053514739229;0,402684807256236;0,0129197278911565
"004_1_52759103020_o";1667,962;100,641468894593;18,4411944419094;10,367059479931;235,036315356558;29650,4444444444;26126,9191022933;13387,1111111111;16574,8516241054;26421,7777777778;18370,3085016133;1,1753314378462;0,622121259328249;0,338335550408448;0,314650790178826;40,3372605118132;17,9097579294051;1,71945649206487;1,41272082080418;71,1200938878286;1248,82961136468;0,2050601928441;0,159372717205727;0,578410034597754;0,303761799755294;1,12771066219128;-1,22358032903555;1,3230834409532;-0,0783827255255586;0,280002577012602;0,717229903641887;-0,519637864540235;0,12806434636563;0,165061012879263;0,158381859410431;0,185102947845805;0,161683446712018
"005_1_52758696951_o";1723,075;101,107705656607;23,3858203999696;12,7148839662867;1005,2523852139;30092,2222222222;38561,8216853722;16047,1111111111;28349,4148107348;20564;17944,617131608;0,971287157240111;0,393701813585639;0,359547958954497;0,214728869094306;29,7866444238146;14,7148340209234;1,68650926209699;1,35388436062061;76,5646881276216;3796,49199702971;0,178876880823413;0,158543398724978;0,550248582244994;0,203764272749168;2,2637537847552;-2,16174245188212;0,829233909937337;0,365898183441591;0,202785624653461;0,790212654887147;-0,687329669571615;0,236323387933174;0,135531330921106;0,144979591836735;0,379522902494331;0,0632961451247166
"006_1_52758154102_o";1959,125;103,639821437455;23,7975190083483;12,4687584715171;840,056878986074;29894,2222222222;29748,2718522344;13697,1111111111;16924,7440560001;25518;24541,6942976641;0,95201187955124;0,480035664309971;0,428605903455899;0,264554874750017;34,2963179211874;23,0910786552862;1,66083446761022;1,38846050947855;76,9029039371337;1964,13331284959;0,273073601769309;0,212158197466703;0,485256118741987;0,277269002140188;1,24621508125668;1,17565433777731;0,708313453208236;-1,60377978117496;0,251562755796803;0,763619314158383;-0,603413340056029;0,302776890740628;0,40150326402606;0,164132426303855;0,295459410430839;0,151698866213152
"007_1_52759103040_o";1552,788;98,5439189395264;21,3934938977833;11,9940805265831;690,379353593571;28813,2222222222;24888,1405732619;13776,2222222222;15468,8402100624;22250,6666666667;15527,6607703801;0,896082049244034;0,447375028325526;0,411217452436523;0,244793352355217;32,5781654394592;14,4253096125868;1,66851910730952;1,3488237257313;78,2169165553018;1533,84616930413;0,181635047011592;0,161015907031728;0,525233157828397;0,207187290439542;2,85800767368031;-0,655454995260931;0,246517126780523;0,0337857543234123;0,235768499565445;0,758827993397282;-0,883504445692811;0,590449311967895;0,299925033227724;0,16635283446712;0,434202267573696;0,0347210884353742
"008_1_52759103075_o";1537,662;116,163194014471;19,6974772534377;10,8554141424919;354,243193705752;30459,4444444444;19874,5278693049;15032;16498,7169879964;25055,7777777778;14957,9022741976;1,0226348351665;0,637405999987185;0,401494231426363;0,286746609095744;37,8475035842647;20,5346273056391;1,69494361459479;1,3723223185894;74,9285110668137;1751,95207268114;0,256381720560908;0,178599300508035;0,489022075498082;0,217164674091529;2,85430394576886;-0,379881460093421;0,7004747339587;-1,05322551928176;0,213161763680824;0,83343363084233;-0,512792124414459;0,37799733115654;0,483929972832322;0,177785034013605;0,406189569160998;0,130771882086168
"009_1_52758945894_o";1337,463;99,4102259529875;13,5269702524192;6,92329128528378;259,160118165837;28780,6666666667;31482,251734112;13138,4444444444;17737,2598652604;23371,5555555556;24660,3292106528;0,912239357286156;0,218331216980623;0,400758087959158;0,133479583736044;31,6253767285885;18,0293072823949;1,68612786594098;1,36097590461263;77,9275778391429;1220,92567798857;0,132195637630449;0,129316907903927;0,567899202487509;0,207229744380482;1,83387593420595;-2,34896842494247;0,889704513492859;0,730474768748469;0,225651128333388;0,755831152164614;-0,679147029417571;0,551583685957489;0,15737476153029;0,077902947845805;0,36368253968254;0,0353705215419501
"010_1_52759182143_o";1760,025;104,250844666188;13,1482258870679;9,14264177170282;316,194720240651;27949,1111111111;22652,7914253655;9448,44444444445;11021,70207036;29782,4444444444;21727,9441912432;1,14702312472703;0,235592670483564;0,283070159386918;0,128055834276878;41,8995337755748;19,3662246745748;1,73298013905883;1,36026100111624;72,0680821287523;827,072732717929;0,125847440893386;0,0947965236828785;0,470915861554169;0,232128287651526;3,04621683463672;2,05844177677035;0,54711937740942;0,416350816663575;0,256293205088084;0,734623666828593;-0,728011646199819;0,533907759762527;0,0906795165959531;0,24747029478458;0,259501133786848;0,00803265306122449
