"","name","CL_cie_d_mean","CL_cie_d_sd","CL_hullarea","SH_n.cell_mean","SH_n.cell_sd","SH_n.core.cell_mean","SH_n.core.cell_sd","SH_perimeter_mean","SH_perimeter_sd","SH_perim.area.ratio_mean","SH_perim.area.ratio_sd","SH_core.area.index_mean","SH_core.area.index_sd","SH_shape.index_mean","SH_shape.index_sd","SH_frac.dim.index_mean","SH_mean.frac.dim.index","SH_aggregation.index","SH_effective.mesh.size"
"1","001_1_52759182023_o",13.3646883508857,7.75635578856505,133.835982214765,30370.2222222222,32078.1171781394,16598,27906.7349801083,23527.1111111111,11663.9228011468,1.34684090298852,0.694435782948089,0.2918173833415,0.296426450177843,39.6409175238305,16.1417363586656,1.74812222513867,1.39040079795133,66.8935182362639,4187.06725886468
"2","002_1_52758154022_o",13.9376397870449,6.63834229112365,330.803649069558,30057.4444444444,34515.1034118077,14001,17961.5361745592,23876.8888888889,22919.3186877601,0.928355260409683,0.295034365884069,0.404038761278377,0.152188549845983,32.6812558214007,14.4814275327879,1.69130852576339,1.35299106267721,77.4225176909743,2849.11782952232
"3","003_1_52758154042_o",14.6523915412463,8.1054524081926,362.770340400564,29843.8888888889,28244.9833131675,11181.3333333333,12870.2757837585,30177.1111111111,24024.2530604202,1.153579412828,0.465813995045235,0.317411341720169,0.232966585159253,42.1181362126644,17.8316605036269,1.72214154444387,1.38618087067668,71.7172775907636,936.193420908389
"4","004_1_52759103020_o",18.4411944419094,10.367059479931,235.036315356558,29650.4444444444,26126.9191022933,13387.1111111111,16574.8516241054,26421.7777777778,18370.3085016133,1.1753314378462,0.622121259328249,0.338335550408448,0.314650790178826,40.3372605118132,17.9097579294051,1.71945649206487,1.41272082080418,71.1200938878286,1248.82961136468
"5","005_1_52758696951_o",23.3858203999696,12.7148839662867,1005.2523852139,30092.2222222222,38561.8216853722,16047.1111111111,28349.4148107348,20564,17944.617131608,0.971287157240111,0.393701813585639,0.359547958954497,0.214728869094306,29.7866444238146,14.7148340209234,1.68650926209699,1.35388436062061,76.5646881276216,3796.49199702971
"6","006_1_52758154102_o",23.7975190083483,12.4687584715171,840.056878986074,29894.2222222222,29748.2718522344,13697.1111111111,16924.7440560001,25518,24541.6942976641,0.95201187955124,0.480035664309971,0.428605903455899,0.264554874750017,34.2963179211874,23.0910786552862,1.66083446761022,1.38846050947855,76.9029039371337,1964.13331284959
"7","007_1_52759103040_o",21.3934938977833,11.9940805265831,690.379353593571,28813.2222222222,24888.1405732619,13776.2222222222,15468.8402100624,22250.6666666667,15527.6607703801,0.896082049244034,0.447375028325526,0.411217452436523,0.244793352355217,32.5781654394592,14.4253096125868,1.66851910730952,1.3488237257313,78.2169165553018,1533.84616930413
"8","008_1_52759103075_o",19.6974772534377,10.8554141424919,354.243193705752,30459.4444444444,19874.5278693049,15032,16498.7169879964,25055.7777777778,14957.9022741976,1.0226348351665,0.637405999987185,0.401494231426363,0.286746609095744,37.8475035842647,20.5346273056391,1.69494361459479,1.3723223185894,74.9285110668137,1751.95207268114
"9","009_1_52758945894_o",13.5269702524192,6.92329128528378,259.160118165837,28780.6666666667,31482.251734112,13138.4444444444,17737.2598652604,23371.5555555556,24660.3292106528,0.912239357286156,0.218331216980623,0.400758087959158,0.133479583736044,31.6253767285885,18.0293072823949,1.68612786594098,1.36097590461263,77.9275778391429,1220.92567798857
"10","010_1_52759182143_o",13.1482258870679,9.14264177170282,316.194720240651,27949.1111111111,22652.7914253655,9448.44444444445,11021.70207036,29782.4444444444,21727.9441912432,1.14702312472703,0.235592670483564,0.283070159386918,0.128055834276878,41.8995337755748,19.3662246745748,1.73298013905883,1.36026100111624,72.0680821287523,827.072732717929
